01;Chèques payés;D;CHK;Cheques;D
02;Remises de chèques;C;CLR;Cash letters/Cheques remittance;C
03;Chèques impayés;D;RTI;Returned item;D
04;Versements espèces;C;MSC;Miscellaneous;C
05;Virements reçus;C;TRF;Transfer;C
06;Virements émis;D;TRF;Transfer;D
07;LCR/BOR domiciliés;D;BOE;Bill of exchange;D
08;Prélèvements, TIP et Télérèglements domiciliés;D;DDT;Direct Debit Item;D
09;Prélèvements, TIP et Télérèglements émis;C;DDT;Direct Debit Item;C
10;Prélèvements, TIP et Télérèglements rejetés/impayés;D/C;RTI;Returned item;D/C
11;Factures cartes de paiement/DAB-GAB;C/D;MSC;Miscellaneous;C/D
12;Rejet/retour de virement;C;RTI;Returned item;C
13;Virements de trésorerie reçus;C;TRF;Transfer;C
14;Virements de trésorerie émis;D;TRF;Transfer;D
15;Remises de chèques sur caisse;C;CLR;Cash letters/Cheques remittance;C
18;Autres virements reçus;C;TRF;Transfer;C
21;Autres virements émis;D;TRF;Transfer;D
22;TIP domiciliés;D;DDT;Direct Debit Item;D
24;TIP émis;C;DDT;Direct Debit Item;C
26;TIP rejetés / impayés;D;RTI;Returned item;D
27;Prélèvements rejetés / impayés;D/C;RTI;Returned item;D/C
28;Factures cartes payées;D;MSC;Miscellaneous;D
29;Retrait DAB-GAB;D;MSC;Miscellaneous;D
30;Factures cartes remises;C;MSC;Miscellaneous;C
31;Remises d'effets à l'encaissement;C;BOE;Bill of exchange;C
32;Remises à l'escompte (papier commercial / chèques);C;BOE;Bill of exchange;C
33;Effets impayés;D;RTI;Returned item;D
34;Incidents sur effets;C/D;RTI;Returned item;C/D
35;Remises de LCR/BOR à l'encaissement;C;BOE;Bill of exchange;C
36;Remise de facture CB crédit;D;MSC;Miscellaneous;D
37;Remises de LCR/BOR à l'escompte;C;BOE;Bill of exchange;C
38;Facture CB impayée / rejetée;D;MSC;Miscellaneous;D
39;Virements d'Origine Extérieur (VOE) reçus;C;TRF;Transfer;C
41;Transferts vers/en provenance de l'étranger;D/C;TRF;Transfer;D/C
42;Achats/Ventes de devises;D/C;FEX;Foreign exchange;D/C
43;Autres opérations avec l'étranger;D/C;MSC;Miscellaneous;D/C
44;Virements internationaux émis;D;TRF;Transfer;D
45;Virements internationaux reçus;C;TRF;Transfer;C
46;Achats de devises au comptant;D;FEX;Foreign exchange;D
47;Ventes de devises au comptant;C;FEX;Foreign exchange;C
48;Levée sur achat à terme;D;FEX;Foreign exchange;D
49;Livraisons sur vente à terme;C;FEX;Foreign exchange;C
51;Achats et Ventes de titres;D/C;SEC;Securities (used when entering a principal amount);D/C
52;Diverses opérations sur titres;D/C;SEC;Securities (used when entering a principal amount);D/C
53;Achats/Souscriptions VM/BF;D;SEC;Securities (used when entering a principal amount);D
54;Ventes de VM/BF;C;SEC;Securities (used when entering a principal amount);C
55;Solde de liquidation - BF;C/D;SEC;Securities (used when entering a principal amount);C/D
